symbol,entry_time,entry,stop,target,quantity,risk_per_share,risk_pct_of_entry,planned_risk,gross_pnl,net_pnl,r_multiple,reason
M&M,2026-08-21 14:15:00+05:30,3435.0,3431.5,3442.0,2,3.5,0.10189228529839883,7.0,-7.0,-21.16354480294,-1.0,STOP
AXISBANK,2026-08-31 13:00:00+05:30,1263.1,1261.8,1265.6999999999998,7,1.2999999999999545,0.10292138389675835,9.099999999999682,-9.099999999999682,-27.32839892147368,-1.0,STOP
ITC,2026-08-04 11:15:00+05:30,286.95,286.65,287.55,34,0.30000000000001137,0.10454783063251834,10.200000000000387,20.400000000000773,0.2512795530607725,2.0,TARGET
ITC,2026-08-05 13:45:00+05:30,286.3,286.0,286.90000000000003,34,0.30000000000001137,0.10478519035976647,10.200000000000387,-10.200000000000388,-30.26820518987639,-1.0000000000000002,STOP
LT,2026-08-24 13:25:00+05:30,4090.0,4085.7,4098.6,2,4.300000000000182,0.10513447432763282,8.600000000000364,-8.600000000000364,-25.46400536305236,-1.0,STOP
LT,2026-08-21 14:00:00+05:30,4087.3,4083.0,4095.900000000001,2,4.300000000000182,0.10520392435104302,8.600000000000364,17.200000000000728,0.3176855292487275,2.0,TARGET
LT,2026-08-20 12:50:00+05:30,4082.4,4078.1,4091.000000000001,2,4.300000000000182,0.10533019792279498,8.600000000000364,-8.600000000000364,-25.432650584780365,-1.0,STOP
WIPRO,2026-08-19 11:35:00+05:30,179.39,179.2,179.76999999999998,55,0.18999999999999773,0.10591448798706601,10.449999999999875,20.89999999999975,0.523489847715755,2.0,TARGET
WIPRO,2026-08-07 13:55:00+05:30,187.26,187.06,187.66,53,0.19999999999998863,0.10680337498664351,10.599999999999397,-10.599999999999396,-31.060879787732198,-0.9999999999999998,STOP
HDFCBANK,2026-08-13 14:00:00+05:30,727.95,727.15,729.5500000000002,13,0.8000000000000682,0.10989765780617738,10.400000000000887,-10.400000000000889,-29.909263639034886,-1.0000000000000002,STOP
ADANIENT,2026-08-10 12:15:00+05:30,3001.2,2997.9,3007.7999999999997,3,3.299999999999727,0.10995601759295373,9.899999999999181,-9.89999999999918,-28.46145544061318,-0.9999999999999998,STOP
WIPRO,2026-08-19 11:50:00+05:30,179.78,179.58,180.18,55,0.19999999999998863,0.11124707976414985,10.999999999999375,-10.999999999999376,-31.384346631263377,-1.0000000000000002,STOP
M&M,2026-08-07 12:30:00+05:30,3476.0,3472.1,3483.8,2,3.900000000000091,0.11219792865362747,7.800000000000182,15.600000000000364,1.2415086172723626,2.0,TARGET
SUNPHARMA,2026-08-10 11:20:00+05:30,1953.0,1950.8,1957.4,5,2.2000000000000455,0.11264720942140528,11.000000000000227,-11.000000000000227,-31.130826746420222,-1.0,STOP
M&M,2026-08-04 14:20:00+05:30,3420.8,3416.8,3428.8,2,4.0,0.11693171188026193,8.0,-8.0,-22.103819467936,-1.0,STOP
SUNPHARMA,2026-08-14 13:50:00+05:30,1924.0,1921.7,1928.6,5,2.2999999999999545,0.11954261954261719,11.499999999999773,-11.499999999999773,-31.33114796062977,-1.0,STOP
LT,2026-08-05 11:10:00+05:30,4067.1,4062.2,4076.9,2,4.900000000000091,0.12047896535615282,9.800000000000182,-9.800000000000182,-26.568158776748184,-1.0,STOP
BHARTIARTL,2026-08-10 12:35:00+05:30,1950.0,1947.6,1954.8,5,2.400000000000091,0.12307692307692775,12.000000000000455,-12.000000000000457,-32.09874312384045,-1.0000000000000002,STOP
HDFCBANK,2026-08-11 12:45:00+05:30,729.2,728.3,731.0000000000002,13,0.900000000000091,0.12342292923753304,11.700000000001182,-2.600000000000591,-22.15168734838859,-0.2222222222222503,SESSION_CLOSE
M&M,2026-08-28 14:20:00+05:30,3324.2,3320.0,3332.5999999999995,3,4.199999999999818,0.12634618855663973,12.599999999999454,25.19999999999891,4.599614052526913,2.0,TARGET
WIPRO,2026-08-21 12:25:00+05:30,181.26,181.03,181.72,55,0.22999999999998977,0.12688955092132284,12.649999999999437,-12.649999999999435,-33.20037639832044,-0.9999999999999999,STOP
BHARTIARTL,2026-08-28 13:20:00+05:30,1878.4,1876.0,1883.2000000000005,5,2.400000000000091,0.12776831345826717,12.000000000000455,-12.000000000000457,-31.360255582960452,-1.0000000000000002,STOP
M&M,2026-08-20 12:00:00+05:30,3434.9,3430.5,3443.7000000000003,2,4.400000000000091,0.12809688782788703,8.800000000000182,17.600000000000364,3.4087891433043644,2.0,TARGET
RELIANCE,2026-08-11 13:10:00+05:30,1324.2,1322.5,1327.6,7,1.7000000000000455,0.12837939888234748,11.900000000000318,23.80000000000064,4.651783080532638,2.0000000000000004,TARGET
BAJFINANCE,2026-08-13 14:25:00+05:30,1090.3,1088.9,1093.0999999999997,9,1.3999999999998636,0.1284050261395821,12.599999999998772,-12.599999999998772,-32.82739673990277,-1.0,STOP
