symbol,timestamp,reason
HCLTECH,2026-08-24 13:20:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-24 13:25:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-24 13:30:00+05:30,DAILY_LOSS_LIMIT
ITC,2026-08-24 14:35:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-24 14:55:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-24 15:00:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-24 15:05:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-24 15:10:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-25 09:15:00+05:30,DAILY_LOSS_LIMIT
HINDUNILVR,2026-08-25 11:15:00+05:30,DAILY_LOSS_LIMIT
ITC,2026-08-25 11:35:00+05:30,DAILY_LOSS_LIMIT
ITC,2026-08-25 11:40:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-25 11:45:00+05:30,DAILY_LOSS_LIMIT
ICICIBANK,2026-08-25 11:50:00+05:30,DAILY_LOSS_LIMIT
ICICIBANK,2026-08-25 12:00:00+05:30,DAILY_LOSS_LIMIT
ITC,2026-08-25 12:15:00+05:30,DAILY_LOSS_LIMIT
BHARTIARTL,2026-08-25 12:40:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-25 12:50:00+05:30,DAILY_LOSS_LIMIT
BHARTIARTL,2026-08-25 12:55:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-25 13:10:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-25 13:20:00+05:30,DAILY_LOSS_LIMIT
MARUTI,2026-08-25 13:40:00+05:30,INVALID_POSITION_SIZE
ICICIBANK,2026-08-25 13:50:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-25 14:00:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-25 14:10:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-25 14:20:00+05:30,DAILY_LOSS_LIMIT
MARUTI,2026-08-25 14:25:00+05:30,INVALID_POSITION_SIZE
BAJFINANCE,2026-08-25 14:30:00+05:30,DAILY_LOSS_LIMIT
ITC,2026-08-25 14:35:00+05:30,DAILY_LOSS_LIMIT
ITC,2026-08-25 14:40:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-25 14:45:00+05:30,DAILY_LOSS_LIMIT
