symbol,signal_time,entry_time,exit_time,entry,stop,target,exit,quantity,signal_score,rsi,vol_ratio,ema9,ema21,ema50,vwap,close_vwap_distance_pct,close_ema21_distance_pct,ema21_ema50_distance_pct,previous_close_vwap_distance_pct,pullback_distance_pct,body_ratio,risk_per_share,entry_stop_distance_pct,mae,mfe,mae_r,mfe_r,net_r,gross_pnl,total_cost,net_pnl,reason,signal_hour,signal_minute
HCLTECH,2026-08-13 11:45:00+05:30,2026-08-13 11:50:00+05:30,2026-08-13 12:00:00+05:30,1363.2,1360.1,1369.4000000000003,1369.4000000000003,7,,62.70432076331411,1.5479960993850892,1361.0135792619967,1360.2143559896394,1358.965227521533,1360.6821665897742,0.1703434841095131,0.2047944868464375,0.09183320721516529,0.004276483178755951,-0.004276483178755951,0.6578947368420738,3.1000000000001364,0.227406103286395,-0.40000000000009095,9.700000000000045,-0.1290322580645398,3.129032258064393,1.090611206429717,43.40000000000191,19.733736820476004,23.666263179525902,TARGET,11,45
KOTAKBANK,2026-08-13 12:10:00+05:30,2026-08-13 12:15:00+05:30,2026-08-13 12:50:00+05:30,391.5,391.15,392.2000000000001,392.2000000000001,25,,63.70297209237179,4.810982165637286,391.02218166292755,390.5768178903487,390.44932520203224,390.75907164643934,0.18961257903464807,0.23636377464431824,0.03264215449475495,0.23999595684858066,-0.1960385933999649,0.17647058823526265,0.35000000000002274,0.08939974457216418,-0.30000000000001137,0.75,-0.8571428571428339,2.142857142857004,-0.3096880199027073,17.500000000001137,20.20977017415,-2.709770174148865,TARGET,12,10
ADANIENT,2026-08-14 09:45:00+05:30,2026-08-14 09:50:00+05:30,2026-08-14 10:10:00+05:30,2970.1,2959.0,2992.3,2992.3,3,,63.03085604098889,1.2001387443635103,2963.1484861094486,2961.6995392156978,2959.6390873306677,2961.285619992587,0.32804603317654657,0.31402445322880834,0.0695699161156527,0.004743874520530842,0.059764636908379146,0.6296296296296254,11.099999999999909,0.37372479041109424,-6.5,39.70000000000027,-0.5855855855855904,3.5765765765766306,1.4457563810781937,66.59999999999945,18.456312510096,48.143687489903456,TARGET,9,45
WIPRO,2026-08-14 11:45:00+05:30,2026-08-14 11:50:00+05:30,2026-08-14 15:10:00+05:30,184.33,183.42,186.1500000000001,184.0,54,,60.59441350644771,2.6135053066468124,183.8034068923408,183.7969974362307,183.65732511017583,183.78014028631196,0.33728329553038827,0.32808074787974895,0.07599271370215067,0.03888319597315287,0.1723646852886288,0.8918918918918763,0.910000000000025,0.49367981337819394,-0.3300000000000125,0.6699999999999875,-0.3626373626373664,0.7362637362637023,-0.7800680292410912,-17.820000000000675,20.5125429569076,-38.33254295690828,SESSION_CLOSE,11,45
AXISBANK,2026-08-17 09:40:00+05:30,2026-08-17 09:45:00+05:30,2026-08-17 11:35:00+05:30,1222.5,1214.3,1238.9,1214.3,8,,63.4723374479444,2.182869991841503,1218.0104800221184,1217.078387657946,1215.880340546218,1217.8361259401795,0.3829640097283164,0.4454612288767157,0.09843631469239487,-0.07159726429032102,0.23591265150681315,0.5818181818181901,8.200000000000045,0.6707566462167727,-8.599999999999909,6.5,-1.0487804878048612,0.7926829268292639,-1.3063940263687788,-65.60000000000036,20.099448129791995,-85.69944812979236,STOP,9,40
TITAN,2026-08-17 12:15:00+05:30,2026-08-17 12:20:00+05:30,2026-08-17 14:30:00+05:30,5103.4,5088.2,5133.799999999999,5088.2,1,,61.21156916936304,6.3647305128801595,5092.37916526516,5088.214776337909,5081.793870793773,5093.734147184257,0.14264295320082768,0.2512713048503206,0.12619171608076912,0.01242825194451221,0.015080078026545932,0.6547619047618977,15.199999999999818,0.297840655249438,-19.5,7.600000000000364,-1.2828947368421206,0.5000000000000299,-1.691448514190008,-15.199999999999818,10.510017415688,-25.710017415687812,STOP,12,15
M&M,2026-08-18 09:25:00+05:30,2026-08-18 09:30:00+05:30,2026-08-18 09:40:00+05:30,3420.5,3405.2,3451.1000000000004,3405.2,2,,63.902802945742,1.9030748599526361,3410.533100149775,3408.843146273422,3408.0895474791296,3407.833659817745,0.35701097520428554,0.327291495907483,0.022107171317526604,0.13177836935581264,0.07416851640172453,0.6896551724137985,15.300000000000182,0.4473030258734157,-18.40000000000009,2.5,-1.202614379084959,0.16339869281045558,-1.4600256855245697,-30.600000000000364,14.076785977052,-44.67678597705236,STOP,9,25
BAJFINANCE,2026-08-18 10:25:00+05:30,2026-08-18 10:30:00+05:30,2026-08-18 11:30:00+05:30,1096.2,1093.1,1102.4000000000003,1093.1,9,,64.1279113589833,3.176045194034256,1093.3870072367254,1093.1734146434685,1093.1706612177925,1093.1150386227514,0.2639211130864553,0.258566968302405,0.000251874555229384,0.15546785221945505,-0.019145911063400852,0.6097560975609891,3.1000000000001364,0.2827951103813297,-3.2000000000000455,1.7999999999999545,-1.0322580645160984,0.5806451612902823,-1.728296367475452,-27.900000000001228,20.319468652566,-48.21946865256723,STOP,10,25
M&M,2026-08-18 11:30:00+05:30,2026-08-18 11:35:00+05:30,2026-08-18 15:10:00+05:30,3425.0,3417.5,3440.0,3417.5,2,,60.44754093969338,3.5778198981250053,3421.2626142394806,3418.326710134154,3414.266720426189,3420.0039428630002,0.14315940036318173,0.19229554174440489,0.11877126010011345,0.0251412855122699,-0.019291348892951168,0.6190476190476448,7.5,0.21897810218978103,-12.5,10.0,-1.6666666666666667,1.3333333333333333,-1.9408771505533333,-15.0,14.1131572583,-29.1131572583,STOP,11,30
SUNPHARMA,2026-08-19 11:10:00+05:30,2026-08-19 11:15:00+05:30,2026-08-19 11:30:00+05:30,1892.8,1889.6,1899.2,1889.6,5,,59.43842402622164,1.3428045670569142,1891.0970441067334,1889.5428066165186,1886.4628180200418,1891.3398190545258,0.07720352158630388,0.17237997319117382,0.16300178994049672,0.05722241106281346,0.03799964685192233,0.28571428571429347,3.2000000000000455,0.1690617075232484,-3.599999999999909,2.6000000000001364,-1.1249999999999556,0.8125000000000311,-2.2190132867599828,-16.000000000000227,19.50421258816,-35.50421258816023,STOP,11,10
HCLTECH,2026-08-19 11:40:00+05:30,2026-08-19 11:45:00+05:30,2026-08-19 12:15:00+05:30,1311.4,1308.2,1317.8000000000002,1317.8000000000002,7,,60.443382388645546,1.332412894418417,1308.253420045417,1307.224973720464,1305.8503125454909,1306.9857164925013,0.3377453519037077,0.3193808535996364,0.10515872956900492,0.27373356367168045,-0.10655960715662288,0.400000000000026,3.2000000000000455,0.24401403080677483,-3.1000000000001364,7.2999999999999545,-0.9687500000000289,2.2812499999999534,1.152350075732512,44.80000000000064,18.987358303592003,25.812641696408637,TARGET,11,40
TCS,2026-08-19 13:15:00+05:30,2026-08-19 13:20:00+05:30,2026-08-19 13:55:00+05:30,2283.1,2279.7,2289.9,2279.7,4,,64.25258477382542,1.9990713501348913,2280.0523721756203,2277.947912185291,2277.6495379628527,2279.521766519965,0.15258610517000085,0.2217824116031881,0.01309837774789292,0.09786027222480628,-0.09347213228038763,0.36734693877554053,3.400000000000091,0.14892032762472476,-4.799999999999727,0.8000000000001819,-1.411764705882235,0.23529411764710603,-2.3840384355599626,-13.600000000000364,18.822922723616,-32.42292272361636,STOP,13,15
LT,2026-08-20 10:00:00+05:30,2026-08-20 10:05:00+05:30,2026-08-20 10:15:00+05:30,4053.5,4050.2,4060.1,4050.2,2,,56.57389276922634,2.519815679125246,4055.0460144640942,4048.90843596574,4044.0473639402703,4051.87071638476,0.03280666408887895,0.10599311152948425,0.12005882825824345,0.0820990744942881,-0.07468979341382356,0.047619047619001216,3.300000000000182,0.08141112618725008,-3.400000000000091,2.5,-1.030303030303001,0.7575757575757158,-3.5326822316865267,-6.600000000000364,16.715702729131998,-23.31570272913236,STOP,10,0
